FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,WORKDAY_OPER_TIME_DC,WKEND_OPER_TIME_DC,FRE_PARKNG_AT,VALET_PARKNG_POSBL_AT,INFN_CHAIR_LEND_POSBL_AT,WCHAIR_HOLD_AT,PET_POSBL_AT,VGTR_MENU_HOLD_AT,HALAL_FOOD_HOLD_AT,GFRE_FOOD_HOLD_AT,LAST_UPDT_DE
0731양꼬치,음식점/유흥시설,동아시아음식,인도,경기도,안산시 단원구,원곡동,,764-9 번지,관산길,3,37.331773,126.796648,15374,경기도 안산시 단원구 관산길 3,경기도 안산시 단원구 원곡동  764-9,,,,Y,N,N,N,N,N,N,N,20221130
08001BARCELONA,음식점/유흥시설,동남아시아음식,기타,충청남도,공주시,중동,,147-279 번지,제민천3길,78,36.455338,127.123165,32547,충청남도 공주시 제민천3길 78,충청남도 공주시 중동  147-279,050714783666,"화-목 17시-23시,금 17시-24시",토 17시-24시,Y,N,N,N,N,N,N,N,20221130
10.5INCH,음식점/유흥시설,유럽음식,이탈리아,경기도,수원시 팔달구,남창동,,113-5 번지,행궁로,43,37.278747,127.015355,16261,경기도 수원시 팔달구 행궁로 43,경기도 수원시 팔달구 남창동  113-5,,,,N,N,N,N,N,N,N,N,20221130
1000란무까타,음식점/유흥시설,동남아시아음식,기타,경기도,평택시,평택동,,291-9 번지,중앙2로,17,36.991785,127.088968,17909,경기도 평택시 중앙2로 17,경기도 평택시 평택동  291-9,,,,Y,N,N,N,N,N,N,N,20221130
100하노이쌀국수,음식점/유흥시설,동남아시아음식,베트남,서울특별시,중구,순화동,,217 번지,서소문로9길,28,37.563415,126.970594,04516,서울특별시 중구 서소문로9길 28,서울특별시 중구 순화동  217,023184246,월-금 10시-20시,토-일 10시-20시,N,N,N,N,N,N,N,N,20221130
1010아프리카유나이티드레스토랑,음식점/유흥시설,아프리카음식,아프리카,서울특별시,용산구,이태원동,,118-34 번지,이태원로,166,37.534206,126.992405,04391,서울특별시 용산구 이태원로 166,서울특별시 용산구 이태원동 118-34,07089554851,월-금 0시-24시,토-일 0시-24시,N,N,N,N,N,N,N,N,20221130
1011다이닝키친,음식점/유흥시설,유럽음식,이탈리아,광주광역시,남구,봉선동,,1011-20 번지,봉선1로36번길,1,35.127536,126.90933,61695,광주광역시 남구 봉선1로36번길 1,광주광역시 남구 봉선동  1011-20,050713271015,월-금 12시-22시,토 12시-14시30분,N,N,N,N,N,N,N,N,20221130
11어클락,음식점/유흥시설,유럽음식,이탈리아,경상남도,창원시 성산구,남양동,,27-7 번지,가양로116번길,14,35.207975,128.705967,51481,경상남도 창원시 성산구 가양로116번길 14,경상남도 창원시 성산구 남양동  27-7,0552627188,월-금 11시-21시,토-일 11시-21시,N,N,N,N,N,N,N,N,20221130
123포,음식점/유흥시설,동남아시아음식,베트남,경기도,파주시,문발동,,644 번지,문발로,284,37.71809,126.692539,10881,경기도 파주시 문발로 284,경기도 파주시 문발동  644,,,,Y,N,N,N,N,N,N,N,20221130
126,음식점/유흥시설,동남아시아음식,기타,서울특별시,광진구,구의동,,671 번지,광나루로39길,11,37.545494,127.088778,04977,서울특별시 광진구 광나루로39길 11,서울특별시 광진구 구의동  671,050713074825,화-금 11시-22시,"토 11시-22시,일 11시-15시",Y,N,N,N,N,N,N,N,20221130
